stage,pool_type,entropy_in,entropy_out,eff_rank_in,eff_rank_out,energy_ratio,variance_ratio,recon_mse,recon_ssim
1,maxpool,5.56744,5.58145,1.18139,1.18393,1.04717,0.97437,0.00128,0.88236
1,geodesic,5.56744,5.62839,1.18139,1.17973,0.99873,0.98569,0.001,0.91109
2,maxpool,5.58145,5.55405,1.18393,1.18775,1.05614,0.95233,0.0017,0.85575
2,geodesic,5.62839,5.65784,1.17973,1.17698,0.99851,0.98239,0.00091,0.89948
3,maxpool,5.55405,5.48976,1.18775,1.19244,1.06878,0.90353,0.00268,0.86589
3,geodesic,5.65784,5.6658,1.17698,1.17346,0.9983,0.97937,0.00071,0.91435
4,maxpool,5.48976,5.40711,1.19244,1.19713,1.09502,0.81695,0.00444,0.86501
4,geodesic,5.6658,5.66789,1.17346,1.16984,0.99649,0.9574,0.00164,0.92784
