stage,pool_type,entropy_in,entropy_out,eff_rank_in,eff_rank_out,energy_ratio,variance_ratio,recon_mse,recon_ssim
1,maxpool,5.73042,5.63755,1.16651,1.16274,1.21968,0.90009,0.01025,0.84687
1,geodesic,5.73042,5.75667,1.16651,1.15876,0.98601,0.89781,0.00413,0.88482
2,maxpool,5.63755,5.31063,1.16274,1.16018,1.28857,0.65093,0.02583,0.62309
2,geodesic,5.75667,5.71943,1.15876,1.15579,0.97295,0.78632,0.01126,0.75021
3,maxpool,5.31063,4.83933,1.16018,1.16511,1.25677,0.42109,0.02741,0.46137
3,geodesic,5.71943,5.62208,1.15579,1.1701,0.96623,0.67971,0.01841,0.58178
4,maxpool,4.83933,4.36537,1.16511,1.31772,1.15284,0.25797,0.01755,0.40521
4,geodesic,5.62208,5.52854,1.1701,1.20119,0.97485,0.68384,0.01663,0.55627
