stage,pool_type,entropy_in,entropy_out,eff_rank_in,eff_rank_out,energy_ratio,variance_ratio,recon_mse,recon_ssim
1,maxpool,5.42837,5.32647,1.25003,1.2471,1.11576,0.86931,0.00429,0.82783
1,geodesic,5.42837,5.44287,1.25003,1.22684,0.99518,0.94686,0.00239,0.86344
2,maxpool,5.32647,5.20143,1.2471,1.22138,1.14429,0.76323,0.00894,0.68737
2,geodesic,5.44287,5.45978,1.22684,1.20074,0.99173,0.90646,0.00638,0.76231
3,maxpool,5.20143,4.94124,1.22138,1.18678,1.14087,0.64455,0.01282,0.61729
3,geodesic,5.45978,5.43786,1.20074,1.18359,0.99011,0.8847,0.00748,0.70634
4,maxpool,4.94124,4.66728,1.18678,1.16413,1.124,0.48485,0.01391,0.56236
4,geodesic,5.43786,5.35932,1.18359,1.18187,0.98981,0.87713,0.00893,0.70183
